"";"Category";"Description";"Nutrient_Bank_Number";"Carbohydrate";"Choline";"Niacin";"Protein";"Riboflavin";"Selenium";"Sugar_Total";"Thiamin";"Water";"Fat__Monosaturated_Fat";"Fat__Polysaturated_Fat";"Fat__Saturated_Fat";"Fat__Total_Lipid";"Minerals__Calcium";"Minerals__Copper";"Minerals__Iron";"Minerals__Magnesium";"Minerals__Phosphorus";"Minerals__Potassium";"Minerals__Sodium";"Minerals__Zinc";"Vitamins__Vitamin_A";"Vitamins__Vitamin_B6";"Vitamins__Vitamin_E";"Vitamins__Vitamin_K"
"350";"Spinach";"Spinach, fresh, cooked with butter or margarine";72125218;4,15;22,5;0,784;3,28;0,206;1,2;0,48;0,08;87,22;0,773;0,605;1,301;3;114;0,148;3,09;90;56;636;245;0,6;533;0,25;2,61;551,5
"351";"Olive tapenade";"Olive tapenade";75510050;4,17;9,5;0,09;0,73;0,002;0,7;0,16;0,008;62,58;21,812;2,811;4,51;30,05;60;0,162;3,4;5;3;17;835;0,12;14;0,014;4,84;13,2
"352";"Turrnip greens";"Turrnip greens, NS as to form, cooked";72128220;4,23;0,5;0,398;1,11;0,07;0,9;0,51;0,044;90,55;0,947;0,863;0,772;2,76;133;0,245;0,78;21;28;197;150;0,14;380;0,191;2,12;358,2
"353";"Turnip greens";"Turnip greens, fresh, cooked, fat added";72128221;4,23;0,5;0,398;1,11;0,07;0,9;0,51;0,044;90,55;0,947;0,863;0,772;2,76;133;0,245;0,78;21;28;197;150;0,14;380;0,191;2,12;358,2
"354";"Turkey bacon";"Turkey bacon, cooked";24208500;4,24;87,9;8,102;29,5;0,398;28,5;4,24;0,049;34,46;9,382;6,871;6,933;25,87;163;0,118;2,63;30;416;666;2021;4,71;19;0,374;0,14;0
"355";"Oyster stew";"Oyster stew";28355310;4,24;33,9;0,378;4,25;0,123;8,1;3,52;0,041;84,95;1,189;0,343;2,94;5,08;106;0,933;1,58;14;100;161;321;13,78;70;0,046;0,4;0,8
"356";"Oysters";"Oysters, canned";26315180;4,25;88;1,352;7,67;0,18;38,9;0;0,163;83,85;0,272;0,803;0,686;2,68;49;4,849;7,28;59;151;249;122;98,86;98;0,103;0,92;0,1
"357";"Spinach";"Spinach, fresh, cooked, no added fat";72125211;4,26;22,6;0,807;3,36;0,211;1,2;0,49;0,082;89,56;0,012;0,194;0,074;0,46;116;0,152;3,18;93;57;655;229;0,62;523;0,217;2,38;566,4
"358";"Spinach";"Spinach, cooked, as ingredient";99997210;4,27;22,7;0,809;3,36;0,211;1,2;0,49;0,083;89,88;0,012;0,194;0,074;0,46;116;0,153;3,19;93;58;656;93;0,62;524;0,218;2,39;568,1
"359";"Egg Salad";"Egg Salad, made with any type of fat free dressing";32103050;4,29;228;0,05;9,8;0,401;24;3,14;0,051;75,23;3,578;1,111;2,666;8,82;40;0,014;0,95;8;134;109;420;0,82;116;0,094;0,81;5,7
"360";"Cheese as ingredient in sandwiches";"Cheese as ingredient in sandwiches";99991400;4,32;26,4;0,097;20,76;0,353;22,6;2,36;0,025;40,65;7,026;1,1;16,589;28,93;958;0,037;0,48;29;604;148;1058;3,05;269;0,077;0,71;2,4
"361";"Beet greens";"Beet greens, raw";72101100;4,33;0,4;0,4;2,2;0,22;0,9;0,5;0,1;91,02;0,026;0,046;0,02;0,13;117;0,191;2,57;70;41;762;226;0,38;316;0,106;1,5;400
"362";"Turnip greens";"Turnip greens, fresh, cooked, no added fat";72128211;4,35;0,3;0,41;1,14;0,072;0,9;0,53;0,045;92,92;0,015;0,091;0,053;0,23;137;0,252;0,8;22;29;202;145;0,14;380;0,179;1,87;366,5
"363";"Chives";"Chives, raw";75109500;4,35;5,2;0,647;3,27;0,115;0,9;1,85;0,078;90,65;0,095;0,267;0,146;0,73;92;0,157;1,6;42;58;296;3;0,56;218;0,138;0,21;212,7
"364";"Oysters";"Oysters, smoked";26315190;4,38;104,7;1,416;9,2;0,145;31,7;1;0,028;81,14;0,408;0,851;0,764;2,76;96;4,605;7,43;29;156;251;605;63,32;20;0,047;1,37;1,6
"365";"Kale";"Kale, raw";72119190;4,42;0,5;1,18;2,92;0,347;0,9;0,8;0,113;89,6;0,104;0,673;0,178;1,49;254;0,053;1,6;33;55;348;53;0,39;241;0,147;0,66;390
